,User,Tweet
168,vyasrushi3,RT @Puertorock77_: @MldGhost I’m not deflecting on to XB I am showing you are being disingenuous. You don’t care about the answer cause the…
169,Woody307ttv,Replayed God of War in anticipation of Ragnarok and BOY this game is a masterpiece!  #GodofWar #PS5Share https://t.co/tehcHsccUo
170,Kevin354912811,"RT @ossamaphotomode: 43 Days Left for 
God of War Ragnarok https://t.co/1fP0DzF1Xs"
171,birdtree3,"RT @ChristIsComing5: On the precipice of war, famine and pestilence. Make sure you have received Christ as your Savior by believing the gos…"
172,islam3500,"@Wppah اول شي مبروك الجهاز 
اما الألعاب الي انصحك فيها
COD War Zone
Dark Souls 3
God of war"
173,Nki19,If you love me buy me a ps5 and god of war ragnarok for my birthday
174,OasisvBlur,"@exileoftza @Kama_Kamilia @BravoKilo6464 @MarkisSkeptic Day of judgement, God is calling
On their knees, the war pigs crawling
Begging mercy for their sins
Satan laughing, spreads his wings
Oh lord, yeah! 🎸"
175,HeliaTalks,Mars is named after the Roman God of War
176,Sarkonziptits0,There is a war between the god - realization of this realm And the  given non - waste product Non-given there will be a covering over of the revolution bye!
177,JayLong79306916,"That's using the full power of the Xbox. U guys release all that shovel ware is hurting ur own brand. Show the power , if The Coalition has a game with powerful graphics show something if Fable look great show something next level unreal 5 before God of war release..."
178,smongebob,God drafted me to war thinking I'm one of his toughest soldiers. Nigga I will end it all right now!
179,ChimmyTap,"worst plat of my life. God of War
Father and Son (PLATINUM)
#PlayStationTrophy
#GodofWar #PS5Share, #GodofWar https://t.co/vtMfRiNnYR"
180,Cindy7Lewis,"TRUE GOD *CRUSH&gt;""LIARS &amp; MURDERERS""+ SUPPORTERS of (*WILD BEAST=ALL GOV'T'S )
ON EARTH
STOOD AGAINST&gt;GOD'S RIGHTEOUS LAWS:
AGAINST CHRIST&gt;GOV/KINGDOM&gt;COMING SOON!
REAL WAR=GOD&gt;ARMAGEDDON
DESTROYS
ALL
*GOV'T'S
*MILITARY
*WEAPONS✓
PEACE PREVAILS
NO EVILDOERS✓
JUDGEMENT PERIOD=NOW"
181,Cindy7Lewis,"GOD FORTOLD:  KING of NRTH (Russia)
Comes Against KING of STH (AMERICA)
WAR ENSUES &amp; FAMINE, RECESSION, HOMELESS, MIGRANTS, MURDER of INNOCENT SOULS!
PUTIN TOOK ""PEACE AWAY"" From WORLD
For his STAY-in-POWER PLAY!
STAND For TRUTH!
STAND For TRUE GOD!
FIGHT *CORRUPT KREMLIN+PUTIN✓"
182,Koulnis,"@AnneMunition @QuarterJade I mean, sounds like you have your outfit set for God of War and Hellblade 2?"
183,lowbasss,Rick and Morty ft. God of War Ragnarok 😍😍 https://t.co/tZutBoIfbm
184,_Toxic_warlord,@NVIDIAGeForce @Palit_Global God of war 👀
185,Kronos_Brisingr,RT @NicolaSaviori: Kratos. Can't wait to play God of war Ragnarok #GodofWarRagnarok #Kratos https://t.co/LloDsmoBY7
186,VGPNetwork,RT @GamersGamutYT: Finally replaying God of War again. There wasn't even a photo mode the last I played it. I forgot just how good this gam…
187,Blurryshrek,mas vai rodar God of War Ragnarok nisso? https://t.co/0FwVtE9HOs
188,FreakEco,"@thelonewolf28 I don’t play a lot of RPGs or JRPGs.

That said, my favorites are God of War 2018 and KH2FM"
189,arbiLLibra2,"Our enemy is the power that exists in this world...

Our enemy is the perversion of it...

Now...Go Make War in God's Name and Don't Judge Yourself for Your WAR...because it was made for this moment and so many thousands of years brought you here..."
190,Aldemar56,@PlayStation_BR God of war joguinho de fase escroto! Não é mundo aberto kkkkkk LIXO!
191,Jamesdanab,RT @AdamKinzinger: You can hear the desperation in the voices of these Russian mouthpieces.  “Please oh God Please just end this war! Ya ou…
192,SnoHmm,"#GhostOfTsushima  #PS5Share, #GhostofTsushima ذي كانها الي ب God of war ؟؟ https://t.co/OgtXcWVFZ5"
193,Peace06112189,RT @AdamKinzinger: You can hear the desperation in the voices of these Russian mouthpieces.  “Please oh God Please just end this war! Ya ou…
194,GTBBduzzit,"RT @TCMF2: Preorder locked in 

- PS5 | PlayStation | God of War Ragnarok https://t.co/UjBw7EkBWN"
